job_id,job_title,company_name,company_rating,location,scraped_city,role_category,experience_raw,experience_min_yrs,experience_max_yrs
780,Data Analyst,Nineleaps,4.3,Bengaluru,Bangalore,Data Scientist,2-4 Yrs,2.0,4.0
781,Business Technology Solutions Associate Consultant _ Data Engineer,ZS,3.1,"Pune, Gurugram, Bengaluru",Bangalore,Data Scientist,3-8 Yrs,3.0,8.0
782,Data Analyst - 10th April - Virtual Interview - Pan India,Tata Consultancy Services,3.3,"India, Bengaluru, Mumbai (All Areas)",Bangalore,Data Scientist,7-12 Yrs,7.0,12.0
783,IN-Senior Associate_ Data Engineering_ Data & Analytics _ Advisory,PwC Service Delivery Center,3.3,Bengaluru,Bangalore,Data Scientist,5-8 Yrs,5.0,8.0
784,Senior Associate_ Snowflake Senior Data Engineer_Data and Analytics,PwC Service Delivery Center,3.3,Bengaluru,Bangalore,Data Scientist,3-7 Yrs,3.0,7.0
785,Senior Data Science Consultant,Wells Fargo,3.6,Bengaluru,Bangalore,Data Scientist,4-9 Yrs,4.0,9.0
786,Analyst Data & Insights III,TE Connectivity,4.1,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
787,Data & Analytics Governance Analyst,Careernet,3.6,Bengaluru,Bangalore,Data Scientist,5-7 Yrs,5.0,7.0
788,"Auth Fraud Supervisor- Data Analyst, UIDAI/Bengaluru",National Institute for Smart Government (NISG),3.6,Bengaluru,Bangalore,Data Scientist,6-10 Yrs,6.0,10.0
789,Data Governance Analyst,Alstom,3.7,Bengaluru,Bangalore,Data Scientist,4-7 Yrs,4.0,7.0
790,S&C GN - Data&AI - Resources - Analyst,Accenture,3.7,Bengaluru,Bangalore,Data Scientist,4-8 Yrs,4.0,8.0
791,Data Analyst,Wonderla Holidays,4.4,Bengaluru,Bangalore,Data Scientist,3-5 Yrs,3.0,5.0
792,Data Governance Analyst,Careernet,3.6,Bengaluru,Bangalore,Data Scientist,4-7 Yrs,4.0,7.0
793,Data Analyst,Tata Consultancy Services,3.3,"Pune, Bengaluru",Bangalore,Data Scientist,4-8 Yrs,4.0,8.0
794,Data Catalog Analyst,Alstom,3.7,Bengaluru,Bangalore,Data Scientist,3-6 Yrs,3.0,6.0
795,Staff Specialist / Data Analyst,Infineon,3.6,Bengaluru,Bangalore,Data Scientist,5-8 Yrs,5.0,8.0
796,GN-Banking-Data AI-Analyst,Accenture,3.7,Bengaluru,Bangalore,Data Scientist,3-8 Yrs,3.0,8.0
797,Data Analyst,Bromine Infotech,4.7,Bengaluru,Bangalore,Data Scientist,3-5 Yrs,3.0,5.0
798,Automation & Data - Analyst,JPMorgan Chase Bank,3.8,Bengaluru,Bangalore,Data Scientist,3-8 Yrs,3.0,8.0
799,Senior / Lead Data Engineer (Databricks),Diggibyte Technologies,3.4,"Hybrid - Hosur, Ahmedabad, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
800,Internship Junior Data Analyst,Rezultize,3.6,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Bangalore,Data Scientist,0-1 Yrs,0.0,0.0
801,Intern For Data and Analytics,Thomson Reuters,3.7,Bengaluru,Bangalore,Data Scientist,No fixed duration,4.0,8.0
802,LEAD DATA ENGINEER,TE Connectivity,4.1,Bengaluru,Bangalore,Data Scientist,7-10 Yrs,7.0,10.0
803,Senior Business Analyst - Data Engineering,Innover Digital,4.3,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
804,Data Engineering Lead,Biocon Biologics Limited,4.0,Bengaluru,Bangalore,Data Scientist,8-13 Yrs,8.0,13.0
805,Senior Associate - Python Data Science Expert,Cognizant,3.7,Bengaluru,Bangalore,Data Scientist,8-10 Yrs,8.0,10.0
806,Data Engineer Lead,Careernet,3.6,Hybrid - Bengaluru,Bangalore,Data Scientist,9-13 Yrs,9.0,13.0
807,"Sr. Data Engineer, Analyst BW/Hana (Engineering Ops)",ColumbiaSportswearCompany,3.4,Bengaluru,Bangalore,Data Scientist,3-7 Yrs,3.0,7.0
808,"Engineering Lead - Data, AI & Digital Manufacturing",Tata Electronics (TEPL),3.9,Bengaluru,Bangalore,Data Scientist,4-8 Yrs,4.0,8.0
809,Lead Data Engineer,Careernet,3.6,Bengaluru,Bangalore,Data Scientist,8-13 Yrs,8.0,13.0
810,Lead Data base operations Engineer,Excelra,3.6,"Hybrid - Hyderabad, Bengaluru",Bangalore,Data Scientist,3-6 Yrs,3.0,6.0
811,Lead Product AI Data Engineer & Architect,Clarivate,3.7,Bengaluru,Bangalore,Data Scientist,7-12 Yrs,7.0,12.0
812,Delivery Lead - Data Engineer,Acuity Knowledge Partners,3.1,Bengaluru,Bangalore,Data Scientist,5-7 Yrs,5.0,7.0
813,Senior Analyst-Data Engineer,Mindshare,3.5,Bengaluru,Bangalore,Data Scientist,3-4 Yrs,3.0,4.0
814,MLOps Engineer | Lead - Global Data Analytics company,Axtria,2.7,"Hyderabad, Bengaluru, Delhi / NCR",Bangalore,Data Scientist,3-8 Yrs,3.0,8.0
815,Lead Data Engineer Aruba Supply Chain Analytics,Hewlett Packard Enterprise,4.0,Bengaluru,Bangalore,Data Scientist,6-10 Yrs,6.0,10.0
816,Lead Data Engineer (Integration Specialist),Hitachi Digital Services,3.5,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Bangalore,Data Scientist,5-8 Yrs,5.0,8.0
817,Sr. Engineer Data Analyst,Estalvis Advisors,3.6,Bengaluru,Bangalore,Data Scientist,2-3 Yrs,2.0,3.0
818,Data Engineering Lead - Cogentiq: I2C Platform,Fractal Analytics,4.0,Bengaluru,Bangalore,Data Scientist,14-19 Yrs,14.0,19.0
819,Lead Data Engineer,Rockwell Automation,3.7,Bengaluru,Bangalore,Data Scientist,8-9 Yrs,8.0,9.0
820,Lead-Data Modelling and Engineering,Allianz,4.1,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Bangalore,Data Scientist,5-8 Yrs,5.0,8.0
821,Sr Data Engineers - AI/ML,Photon,4.1,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Bangalore,Data Scientist,3-7 Yrs,3.0,7.0
822,Senior Data Engineer,PayU,3.3,Bengaluru,Bangalore,Data Scientist,3-6 Yrs,3.0,6.0
823,Senior Data Engineer 1,PayU,3.3,Bengaluru,Bangalore,Data Scientist,3-6 Yrs,3.0,6.0
824,Senior Data Engineer,Mastek,3.6,Hybrid - Bengaluru,Bangalore,Data Scientist,7-10 Yrs,7.0,10.0
825,Senior Engineer - Data Engineering,Altimetrik,3.5,Bengaluru,Bangalore,Data Scientist,10-15 Yrs,0.0,0.0
826,Sr Developer - Data Engineering,Photon,4.1,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Bangalore,Data Scientist,4-8 Yrs,4.0,8.0
827,Senior Data Engineer,Take Two,2.9,Bengaluru,Bangalore,Data Scientist,6-11 Yrs,6.0,11.0
828,Data Analyst/Engineer,BMW Techworks India,3.0,Bengaluru,Bangalore,Data Scientist,2-5 Yrs,2.0,5.0
829,Senior Data Engineer,SG Analytics,2.5,"Pune, Bengaluru",Bangalore,Data Scientist,5-7 Yrs,5.0,7.0
830,Senior Information Security Engineer Data,Rubrik,2.6,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
831,Senior Manager - Data Engineering,Bristlecone,3.6,Bengaluru,Bangalore,Data Scientist,9-12 Yrs,9.0,12.0
832,Data Engineer / Analyst,Naghavi Fintech,3.6,Bengaluru,Bangalore,Data Scientist,2-5 Yrs,2.0,5.0
833,Data Analyst/ Data Engineer,Creditaccess Grameen,3.9,Bengaluru,Bangalore,Data Scientist,3-5 Yrs,3.0,5.0
834,Sr Engineer - Data Engineering,Altimetrik,3.5,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
835,Senior Staff Engineer - Data Engineering,Altimetrik,3.5,Bengaluru,Bangalore,Data Scientist,12-17 Yrs,12.0,17.0
836,Senior Engineer - Data Analytics,Altimetrik,3.5,Bengaluru,Bangalore,Data Scientist,5-30 Yrs,5.0,30.0
837,Senior Architect - Data Engineering,Altimetrik,3.5,Bengaluru,Bangalore,Data Scientist,12-17 Yrs,12.0,17.0
838,Sr. Data Engineer,Photon,4.1,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Bangalore,Data Scientist,8-9 Yrs,8.0,9.0
839,Technical Analyst Data Engineer,Jones Lang LaSalle (JLL),4.1,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
840,Senior Data Engineer,Themathcompany,3.1,Bengaluru,Bangalore,Data Scientist,3-7 Yrs,3.0,7.0
841,Senior Data Engineer - Product Analytics,Egdk,3.8,Bengaluru,Bangalore,Data Scientist,2-10 Yrs,2.0,10.0
842,Sr Data Engineer,Photon,4.1,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Bangalore,Data Scientist,4-9 Yrs,4.0,9.0
843,Engineer I - Postgres Developer and Data Analyst,American Express Global Business Travel,4.1,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
844,AI Data Engineer,Tech Mahindra,3.3,"Hybrid - Noida, Pune, Bengaluru",Bangalore,Data Scientist,7-12 Yrs,7.0,12.0
845,Azure Data Engineer,HCLTech,3.4,"Hybrid - Chennai, Bengaluru",Bangalore,Data Scientist,6-10 Yrs,6.0,10.0
846,Data Platform Engineer,Accenture,3.7,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
847,Data Engineer,Utthunga Technologies,2.7,Bengaluru,Bangalore,Data Scientist,4-8 Yrs,4.0,8.0
848,AI Data Engineer,Hewlett Packard Enterprise,4.0,Bengaluru,Bangalore,Data Scientist,4-5 Yrs,4.0,5.0
849,Data Engineer,Cloudphysician Healthcare,3.6,Bengaluru,Bangalore,Data Scientist,0-4 Yrs,0.0,4.0
850,Data Engineer-Data Platforms,IBM,3.9,Bangalore Rural,Bangalore,Data Scientist,6-8 Yrs,6.0,8.0
851,Microsoft Fabric Data Engineer,Capgemini,3.6,"Hybrid - Hyderabad, Pune, Bengaluru",Bangalore,Data Scientist,6-11 Yrs,6.0,11.0
852,Senior Data Scientist,Mastercard,3.8,Mumbai,Mumbai,Data Scientist,5-7 Yrs,5.0,7.0
853,Data Engineer,EY,3.4,Hybrid - Mumbai,Mumbai,Data Scientist,9-12 Yrs,9.0,12.0
854,Sr. Data Scientist,Fortune 500 IT Services Company,3.6,"Mumbai, Hyderabad, Gurugram, Bengaluru",Mumbai,Data Scientist,4-8 Yrs,4.0,8.0
855,Sr. Data Engineer,Leading IT Firm,3.6,"Mumbai, Hyderabad, Pune, Chennai, Bengaluru",Mumbai,Data Scientist,5-10 Yrs,5.0,10.0
856,Sr. Data Engineer,Leading IT Consulting MNC,3.6,"Kolkata, Hyderabad, New Delhi, Chennai, Bengaluru",Mumbai,Data Scientist,5-8 Yrs,5.0,8.0
857,Sr. Data Engineer,Leading Indian IT Company,3.6,"Mumbai, Hyderabad, Pune, Chennai, Bengaluru",Mumbai,Data Scientist,6-10 Yrs,6.0,10.0
858,GCP Data Engineer (Lead),Blue Star,4.0,Mumbai,Mumbai,Data Scientist,8-11 Yrs,8.0,11.0
859,Senior Snowflake Data Engineer role,Saint Gobain,3.8,Mumbai,Mumbai,Data Scientist,6-10 Yrs,6.0,10.0
860,Data Scientist | Leading IT Co.,Hiring for - Leading IT Co.,3.6,Remote,Mumbai,Data Scientist,2-7 Yrs,2.0,7.0
861,Data Scientist - Gen AI,Fractal Analytics,4.0,Mumbai,Mumbai,Data Scientist,3-5 Yrs,3.0,5.0
862,Data Scientist,-,3.6,Mumbai(Tardeo),Mumbai,Data Scientist,3-6 Yrs,3.0,6.0
